,開始時刻,終了時刻,左クリック,右クリック,打鍵回数,実行ファイル名,手動分類,候補1,候補2,候補3,自動推定,
,2013/05/22 10:45:53,2013/05/22 10:45:55,1,0,0,explorer.exe:WORKSHOP (E:),プログラミング,,,,プログラミング,
,2013/05/22 10:45:55,2013/05/22 10:45:57,1,0,0,explorer.exe:添付資料(パーツ用変換テーブル）,プログラミング,,,,テスト,
,2013/05/22 10:45:57,2013/05/22 10:46:00,1,0,0,explorer.exe:OGL_変換仕様書,プログラミング,,,,テスト,
,2013/05/22 10:46:01,2013/05/22 10:46:02,1,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,プログラミング,,,,テスト,
,2013/05/22 10:46:02,2013/05/22 10:46:25,3,0,11,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,テスト,
,2013/05/22 10:46:25,2013/05/22 10:46:27,0,0,0,devenv.exe:AIRS_OVLY (実行中) - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,テスト,
,2013/05/22 10:46:27,2013/05/22 10:46:32,1,0,0,airs_ovly.exe:AIRS for OVLY,テスト,テスト,,,テスト,
,2013/05/22 10:46:32,2013/05/22 10:46:35,1,0,0,excel.exe:Microsoft Excel - テスト仕様書一覧.xls,テスト,テスト,文書作成・確認,,テスト,
,2013/05/22 10:46:35,2013/05/22 10:46:40,2,0,4,airs_ovly.exe:AIRS for OVLY,テスト,テスト,,,テスト,
,2013/05/22 10:46:40,2013/05/22 10:46:42,1,0,0,airs_ovly.exe:AIRS for OVLY - 000010,テスト,テスト,,,テスト,
,2013/05/22 10:46:42,2013/05/22 10:46:49,1,0,0,airs_ovly.exe:AIRS for OVLY,テスト,テスト,,,テスト,
,2013/05/22 10:46:49,2013/05/22 10:46:53,3,0,0,explorer.exe:OGL_変換仕様書,テスト,,,,テスト,
,2013/05/22 10:46:53,2013/05/22 10:46:54,1,0,0,explorer.exe:wxWidgets-2.6.2,テスト,,,,テスト,
,2013/05/22 10:46:54,2013/05/22 10:46:55,1,0,0,explorer.exe:解析ルート,テスト,,,,テスト,
,2013/05/22 10:46:55,2013/05/22 10:47:01,2,0,0,notepad.exe:ogl-srcdata - メモ帳,テスト,,,,テスト,
,2013/05/22 10:47:01,2013/05/22 10:47:03,1,0,0,explorer.exe:解析ルート,テスト,,,,テスト,
,2013/05/22 10:47:03,2013/05/22 10:47:04,1,0,0,excel.exe:Microsoft Excel - 新規Microsoft Excel ワークシート.xls,テスト,,,,テスト,
,2013/05/22 10:47:04,2013/05/22 10:47:06,2,0,0,excel.exe:Microsoft Excel - テスト仕様書一覧.xls,テスト,テスト,文書作成・確認,,テスト,
,2013/05/22 10:47:06,2013/05/22 10:47:10,3,0,0,explorer.exe:解析ルート,テスト,,,,テスト,
,2013/05/22 10:47:10,2013/05/22 10:47:20,2,0,0,explorer.exe:OGL_変換仕様書,テスト,,,,テスト,
,2013/05/22 10:47:20,2013/05/22 10:47:32,1,0,1,excel.exe:Microsoft Excel - 21_FRAME(SQU)制御文変換.xls,テスト,,,,テスト,
,2013/05/22 10:47:32,2013/05/22 10:48:13,2,0,0,notepad.exe:ogl-srcdata - メモ帳,テスト,,,,テスト,
,2013/05/22 10:48:13,2013/05/22 10:48:15,1,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,テスト,,,,テスト,
,2013/05/22 10:48:15,2013/05/22 10:48:19,1,0,0,excel.exe:Microsoft Excel - テスト仕様書一覧.xls,テスト,テスト,文書作成・確認,,テスト,
,2013/05/22 10:48:19,2013/05/22 10:48:42,1,0,0,notepad.exe:ogl-srcdata - メモ帳,テスト,,,,テスト,
,2013/05/22 10:48:42,2013/05/22 10:48:44,1,0,0,excel.exe:Microsoft Excel - 21_FRAME(SQU)制御文変換.xls,テスト,,,,テスト,
