タスク名;開始時刻;終了時刻;左クリック;右クリック;打鍵回数;実行ファイル名;手動分類;候補1;候補2;候補3;自動推定
ブラウザ;2013/05/22 17:12:37;2013/05/22 17:12:40;1;0;0;iexplore.exe:正版?籍/700?多肉植物原色??(?竹) /王意成/江??凰科学技-淘宝网 - Windows Internet Explorer;余暇;余暇;;;余暇
ブラウザ;2013/05/22 17:12:40;2013/05/22 17:13:36;5;1;0;iexplore.exe:?花植物 ??_淘宝搜索 - Windows Internet Explorer;余暇;余暇;;;余暇
ブラウザ;2013/05/22 17:13:36;2013/05/22 17:13:38;0;0;0;iexplore.exe:成功加入?物?--当当网 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:13:38;2013/05/22 17:13:40;1;0;0;iexplore.exe:?花植物1000??典??(超?白金版) 徐?春 生活-tmall.com天猫 - Windows Internet Explorer;余暇;余暇;;;余暇
ブラウザ;2013/05/22 17:13:40;2013/05/22 17:14:33;3;2;0;iexplore.exe:成功加入?物?--当当网 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:14:33;2013/05/22 17:14:36;1;0;0;iexplore.exe:《?林?木??》徐?春　等?著_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:14:36;2013/05/22 17:15:48;2;0;0;iexplore.exe:《公?常?花木??与欣?》殷广?　　主?_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:15:48;2013/05/22 17:16:23;3;2;0;iexplore.exe:《公?常?花木??与欣?》殷广?　　主?_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:16:23;2013/05/22 17:16:26;1;0;0;iexplore.exe:《?林?木??》徐?春　等?著_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:16:26;2013/05/22 17:16:27;1;0;0;iexplore.exe:《公?常?花木??与欣?》殷广?　　主?_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
trac　;2013/05/22 17:16:27;2013/05/22 17:16:30;2;0;0;iexplore.exe:《成?植物??》潘富俊 著_?介_??_在???-当当??#ddclick?act=click&pos=9305208_19_2_q&cat=&key=%D6%B2%CE%EF%2B%CD% - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:16:30;2013/05/22 17:16:32;1;0;0;iexplore.exe:植物+??-当当网 - Windows Internet Explorer;余暇;;;;余暇
trac　;2013/05/22 17:16:32;2013/05/22 17:16:42;1;0;0;iexplore.exe:景??林植物??（一部景??林植物分?与?用的大型工具?，1618?，3000余幅彩??版?精美印刷） - 当当网#ddclick?act=click&pos=23236474_18_2_q - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:16:42;2013/05/22 17:16:49;3;0;0;iexplore.exe:成功加入?物?--当当网 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:16:49;2013/05/22 17:16:50;1;0;0;iexplore.exe:?花植物1000??典??(超?白金版) 徐?春 生活-tmall.com天猫 - Windows Internet Explorer;余暇;余暇;;;余暇
ブラウザ;2013/05/22 17:16:50;2013/05/22 17:16:53;1;0;0;iexplore.exe:《常?植物野外??手册》?全儒，王辰　主?_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:16:53;2013/05/22 17:17:12;1;0;0;iexplore.exe:《公?常?花木??与欣?》殷广?　　主?_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:17:12;2013/05/22 17:17:16;1;0;0;iexplore.exe:成功加入?物?--当当网 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:17:16;2013/05/22 17:18:11;2;0;0;iexplore.exe:《常?植物野外??手册》?全儒，王辰　主?_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:18:11;2013/05/22 17:19:46;4;2;0;iexplore.exe:《常?野花：大自然珍藏系列》汪?武 ?著_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:19:46;2013/05/22 17:19:49;1;0;0;iexplore.exe:成功加入?物?--当当网 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:19:49;2013/05/22 17:19:53;1;0;0;iexplore.exe:《常?植物野外??手册》?全儒，王辰　主?_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:19:53;2013/05/22 17:19:55;1;0;0;iexplore.exe:《常?野花：大自然珍藏系列》汪?武 ?著_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:19:55;2013/05/22 17:20:49;1;0;0;iexplore.exe:《??花卉2：木本》徐?春 主?_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:20:49;2013/05/22 17:20:50;0;0;0;iexplore.exe:《??花卉2：木本》徐?春 主?_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:20:50;2013/05/22 17:20:55;1;0;0;iexplore.exe:成功加入?物?--当当网 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:20:55;2013/05/22 17:21:07;2;1;0;iexplore.exe:《??花卉2：木本》徐?春 主?_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:21:07;2013/05/22 17:21:10;1;0;0;iexplore.exe:《?花植物1000??典??(超?白金版)》徐?春 ?著_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:21:10;2013/05/22 17:21:37;1;0;0;iexplore.exe:《常?野花：大自然珍藏系列》汪?武 ?著_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:21:37;2013/05/22 17:21:42;1;0;0;iexplore.exe:《?花植物1000??典??(超?白金版)》徐?春 ?著_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:21:42;2013/05/22 17:21:43;0;0;0;iexplore.exe:http://shopping.dangdang.com/shoppingcart/shopping_cart.aspx - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:21:43;2013/05/22 17:22:19;4;0;0;iexplore.exe:?物?--当当网 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:22:19;2013/05/22 17:22:31;1;0;0;iexplore.exe:???算--当当网 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:22:31;2013/05/22 17:22:34;1;0;0;iexplore.exe:当当网-新??流程-??完成? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:22:34;2013/05/22 17:22:35;1;0;0;iexplore.exe:http://order.dangdang.com/myallorders.aspx - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:22:35;2013/05/22 17:22:36;1;0;0;iexplore.exe:当当网-新??流程-??完成? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:22:37;2013/05/22 17:23:12;3;0;0;iexplore.exe:我的?? -- 当当网 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:23:12;2013/05/22 17:23:13;1;0;0;iexplore.exe:http://comm.dangdang.com/review/comment.php?order_id=6089126162 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:23:13;2013/05/22 17:23:22;2;0;0;iexplore.exe:当当-社区---商品?价 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:23:22;2013/05/22 17:23:40;2;0;0;iexplore.exe:我的?? -- 当当网 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:23:40;2013/05/22 17:23:41;1;0;0;iexplore.exe:《?花植物1000??典??(超?白金版)》徐?春 ?著_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:23:41;2013/05/22 17:23:42;1;0;0;iexplore.exe:《常?野花：大自然珍藏系列》汪?武 ?著_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:23:42;2013/05/22 17:23:43;2;0;0;iexplore.exe:《?花植物1000??典??(超?白金版)》徐?春 ?著_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:23:43;2013/05/22 17:23:44;0;0;0;iexplore.exe:《常?野花：大自然珍藏系列》汪?武 ?著_?介_??_在???-当当?? - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:23:44;2013/05/22 17:23:45;1;0;0;iexplore.exe:?花植物1000??典??(超?白金版) 徐?春 生活-tmall.com天猫 - Windows Internet Explorer;余暇;余暇;;;余暇
ブラウザ;2013/05/22 17:23:45;2013/05/22 17:23:48;1;0;0;iexplore.exe:植物+??-当当网 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:23:48;2013/05/22 17:24:28;8;2;0;iexplore.exe:我的?? -- 当当网 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:24:28;2013/05/22 17:25:20;1;0;0;iexplore.exe:??6132082382 - 当当网 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:25:20;2013/05/22 17:25:23;1;0;0;iexplore.exe:我的?? -- 当当网 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 17:25:23;2013/05/22 17:25:37;1;0;0;iexplore.exe:??6132082382 - 当当网 - Windows Internet Explorer;余暇;;;;事務
ブラウザ;2013/05/22 17:25:37;2013/05/22 17:25:38;1;0;0;iexplore.exe:我的?? -- 当当网 - Windows Internet Explorer;余暇;;;;事務
調査　;2013/05/22 17:25:38;2013/05/22 17:25:46;1;0;0;sakura.exe:E:\開発三部\PSAM_変換仕様書\Debug_20130517(2)\3回目_本社最新(帳票）\OLV080_pos順の調整ある - sakura 1.6.6.0 ;文書作成・確認;プログラミング;テスト;文書作成・確認;事務
登録外;2013/05/22 17:25:47;2013/05/22 17:25:49;1;0;0;msimn.exe:李華山 - Outlook Express;事務;事務;;;事務
登録外;2013/05/22 17:25:49;2013/05/22 17:25:54;3;0;0;msimn.exe:李華山 - Outlook Express;事務;事務;;;事務
ブラウザ;2013/05/22 17:25:54;2013/05/22 17:26:05;3;1;0;iexplore.exe:我的?? -- 当当网 - Windows Internet Explorer;余暇;;;;事務
ファイル操作;2013/05/22 17:26:05;2013/05/22 17:26:07;1;0;0;explorer.exe:unknown;余暇;;;;事務
